Date,Open,High,Low,Close,Volume
2005-08-30,8.9339,8.9882,8.8794,8.9339,438130
2005-08-31,8.9882,9.079,8.97,8.9882,254890
2005-09-01,8.9882,9.0426,8.9157,9.0426,2822634
2005-09-02,9.0245,9.3964,9.0245,9.3057,990465
2005-09-05,9.342,9.487,9.3238,9.4326,1562421
2005-09-06,9.4326,9.4326,9.1151,9.3783,6864198
2005-09-07,9.4144,9.469,9.1605,9.2875,216187
2005-09-08,9.2694,9.469,9.1969,9.4144,520298
2005-09-09,9.4326,9.487,9.342,9.487,708980
2005-09-12,9.487,9.5597,9.4508,9.5234,354541
2005-09-13,9.6322,9.6322,9.4508,9.5234,140138
2005-09-14,9.5052,9.5052,9.1605,9.2875,506596
2005-09-15,9.2512,9.5597,9.215,9.5415,873955
2005-09-16,9.5597,9.9859,9.5597,9.9496,1305537
2005-09-19,9.9315,10.3578,9.8227,10.3033,990516
2005-09-20,10.3941,10.4122,10.0948,10.1855,529652
2005-09-21,10.1855,10.258,10.1129,10.1855,938895
2005-09-22,10.1674,10.1674,10.0041,10.0766,109048
2005-09-23,10.0584,10.0584,9.469,9.9134,3013100
2005-09-26,9.8227,10.0948,9.7864,10.0948,412454
2005-09-27,10.1129,10.1855,10.0041,10.1855,224041
2005-09-28,10.1855,10.1855,9.7319,10.0041,121554
2005-09-29,9.9859,10.258,9.8227,10.1855,354709
2005-09-30,10.2035,10.2035,10.0766,10.1855,122957
2005-10-03,10.2035,10.6299,10.1492,10.6299,757865
2005-10-04,10.6299,10.8929,10.6299,10.7024,454963
2005-10-05,10.6299,10.7568,10.4666,10.6842,821326
2005-10-06,10.5392,10.5392,10.1855,10.3578,1040145
2005-10-07,10.2762,10.5392,10.2035,10.5392,550246
2005-10-10,10.5755,10.7206,10.5392,10.6661,813561
2005-10-11,10.5573,10.8657,10.5573,10.7206,682738
2005-10-12,10.7568,10.7568,10.521,10.5573,76872
2005-10-13,10.5392,10.5392,10.2217,10.5392,375929
2005-10-14,10.4303,10.5755,10.2217,10.5392,183055
