Date,Open,High,Low,Close,Volume
1995-03-27,24.1862,24.1862,24.1862,24.1862,34462
1995-03-28,24.0096,24.0096,24.0096,24.0096,40172
1995-03-29,24.451,24.451,24.451,24.451,23272
1995-03-30,24.9806,24.9806,24.9806,24.9806,42613
1995-03-31,25.3337,25.3337,25.3337,25.3337,29348
1995-04-03,26.0398,26.0398,26.0398,26.0398,44336
1995-04-04,26.4812,26.4812,26.4812,26.4812,30512
1995-04-05,27.3639,27.3639,27.3639,27.3639,57028
1995-04-06,27.8935,27.8935,27.8935,27.8935,19807
1995-04-07,27.8053,27.8053,27.8053,27.8053,43337
1995-04-10,29.1293,29.1293,29.1293,29.1293,67080
1995-04-11,29.0411,29.0411,29.0411,29.0411,27839
1995-04-12,29.0411,29.0411,29.0411,29.0411,45573
1995-04-13,27.5405,27.5405,27.5405,27.5405,13980
1995-04-14,27.6287,27.6287,27.6287,27.6287,26910
1995-04-18,28.4232,28.4232,28.4232,28.4232,24100
1995-04-19,29.9238,29.9238,29.9238,29.9238,68307
1995-04-20,30.012,30.012,30.012,30.012,83217
1995-04-21,30.012,30.012,30.012,30.012,62058
1995-04-24,31.7774,31.7774,31.7774,31.7774,88065
1995-04-25,33.1015,33.1015,33.1015,33.1015,110871
1995-04-26,30.983,30.983,30.983,30.983,41829
1995-04-27,31.5126,31.5126,31.5126,31.5126,48441
1995-04-28,30.8065,30.8065,30.8065,30.8065,29815
1995-05-04,31.3361,31.3361,31.3361,31.3361,28210
1995-05-05,31.7774,31.7774,31.7774,31.7774,31422
1995-05-09,31.7774,31.7774,31.7774,31.7774,33703
1995-05-10,32.5719,32.5719,32.5719,32.5719,36504
1995-05-11,33.1015,33.1015,33.1015,33.1015,58970
1995-05-12,33.5429,33.5429,33.5429,33.5429,114733
1995-05-15,31.7774,31.7774,31.7774,31.7774,80923
1995-05-16,31.7774,31.7774,31.7774,31.7774,45788
1995-05-17,30.5417,30.5417,30.5417,30.5417,20300
1995-05-18,31.7774,31.7774,31.7774,31.7774,63976
1995-05-19,30.4534,30.4534,30.4534,30.4534,14925
1995-05-22,30.2768,30.2768,30.2768,30.2768,34481
1995-05-23,27.2756,27.2756,27.2756,27.2756,53693
1995-05-24,29.1293,29.1293,29.1293,29.1293,13337
1995-05-25,30.012,30.012,30.012,30.012,67339
1995-05-26,27.0108,27.0108,27.0108,27.0108,32264
1995-05-29,28.3349,28.3349,28.3349,28.3349,60032
1995-05-30,27.6287,27.6287,27.6287,27.6287,15979
1995-05-31,28.5114,28.5114,28.5114,28.5114,42457
1995-06-01,26.746,26.746,26.746,26.746,8020
1995-06-02,27.2756,27.2756,27.2756,27.2756,27974
1995-06-05,29.9238,29.9238,29.9238,29.9238,38381
1995-06-06,30.012,30.012,30.012,30.012,31020
1995-06-07,30.012,30.012,30.012,30.012,10812
